CodigoVariable,FechaHora,CodigoDuracion,UnidadMedida,Version,Valor
PB_Int,2025-12-24 17:00:00,PT1H,COP/kWh,TX1,380.6155
PB_Int,2025-12-24 14:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 16:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 01:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 13:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 23:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 02:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 18:00:00,PT1H,COP/kWh,TX1,380.6155
PB_Int,2025-12-24 19:00:00,PT1H,COP/kWh,TX1,380.6155
PB_Int,2025-12-24 12:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 22:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 09:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 21:00:00,PT1H,COP/kWh,TX1,350.6155
PB_Int,2025-12-24 20:00:00,PT1H,COP/kWh,TX1,380.6155
PB_Int,2025-12-24 11:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 07:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 03:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 10:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 08:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 04:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 15:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 05:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 00:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-24 06:00:00,PT1H,COP/kWh,TX1,240.6155
PB_Int,2025-12-23 00:00:00,PT1H,COP/kWh,TX1,426.711
PB_Int,2025-12-23 04:00:00,PT1H,COP/kWh,TX1,426.711
PB_Int,2025-12-23 05:00:00,PT1H,COP/kWh,TX1,426.711
PB_Int,2025-12-23 14:00:00,PT1H,COP/kWh,TX1,426.711
PB_Int,2025-12-23 08:00:00,PT1H,COP/kWh,TX1,426.711
PB_Int,2025-12-23 07:00:00,PT1H,COP/kWh,TX1,426.711
PB_Int,2025-12-23 16:00:00,PT1H,COP/kWh,TX1,430.5
PB_Int,2025-12-23 22:00:00,PT1H,COP/kWh,TX1,430.5
PB_Int,2025-12-23 12:00:00,PT1H,COP/kWh,TX1,426.711
PB_Int,2025-12-23 03:00:00,PT1H,COP/kWh,TX1,426.711
PB_Int,2025-12-23 21:00:00,PT1H,COP/kWh,TX1,430.5
PB_Int,2025-12-23 02:00:00,PT1H,COP/kWh,TX1,426.711
PB_Int,2025-12-23 20:00:00,PT1H,COP/kWh,TX1,440.0
PB_Int,2025-12-23 09:00:00,PT1H,COP/kWh,TX1,425.0
PB_Int,2025-12-23 06:00:00,PT1H,COP/kWh,TX1,426.711
PB_Int,2025-12-23 13:00:00,PT1H,COP/kWh,TX1,426.711
PB_Int,2025-12-23 17:00:00,PT1H,COP/kWh,TX1,430.5
PB_Int,2025-12-23 23:00:00,PT1H,COP/kWh,TX1,430.5
PB_Int,2025-12-23 01:00:00,PT1H,COP/kWh,TX1,426.711
PB_Int,2025-12-23 19:00:00,PT1H,COP/kWh,TX1,440.0
PB_Int,2025-12-23 15:00:00,PT1H,COP/kWh,TX1,430.0
PB_Int,2025-12-23 10:00:00,PT1H,COP/kWh,TX1,425.0
PB_Int,2025-12-23 11:00:00,PT1H,COP/kWh,TX1,426.711
PB_Int,2025-12-23 18:00:00,PT1H,COP/kWh,TX1,440.0
PB_Int,2025-12-22 04:00:00,PT1H,COP/kWh,TX1,426.0
PB_Int,2025-12-22 01:00:00,PT1H,COP/kWh,TX1,426.0
PB_Int,2025-12-22 05:00:00,PT1H,COP/kWh,TX1,426.0
PB_Int,2025-12-22 08:00:00,PT1H,COP/kWh,TX1,426.0
PB_Int,2025-12-22 02:00:00,PT1H,COP/kWh,TX1,426.0
PB_Int,2025-12-22 21:00:00,PT1H,COP/kWh,TX1,435.0
PB_Int,2025-12-22 00:00:00,PT1H,COP/kWh,TX1,426.0
PB_Int,2025-12-22 17:00:00,PT1H,COP/kWh,TX1,435.0
PB_Int,2025-12-22 15:00:00,PT1H,COP/kWh,TX1,431.111
PB_Int,2025-12-22 10:00:00,PT1H,COP/kWh,TX1,426.0
PB_Int,2025-12-22 18:00:00,PT1H,COP/kWh,TX1,435.0
PB_Int,2025-12-22 11:00:00,PT1H,COP/kWh,TX1,430.0
PB_Int,2025-12-22 12:00:00,PT1H,COP/kWh,TX1,430.0
PB_Int,2025-12-22 03:00:00,PT1H,COP/kWh,TX1,426.0
PB_Int,2025-12-22 07:00:00,PT1H,COP/kWh,TX1,426.0
PB_Int,2025-12-22 13:00:00,PT1H,COP/kWh,TX1,430.0
PB_Int,2025-12-22 23:00:00,PT1H,COP/kWh,TX1,431.111
PB_Int,2025-12-22 22:00:00,PT1H,COP/kWh,TX1,435.0
PB_Int,2025-12-22 19:00:00,PT1H,COP/kWh,TX1,435.0
PB_Int,2025-12-22 06:00:00,PT1H,COP/kWh,TX1,426.0
PB_Int,2025-12-22 20:00:00,PT1H,COP/kWh,TX1,435.0
PB_Int,2025-12-22 14:00:00,PT1H,COP/kWh,TX1,431.111
PB_Int,2025-12-22 09:00:00,PT1H,COP/kWh,TX1,426.0
PB_Int,2025-12-22 16:00:00,PT1H,COP/kWh,TX1,435.0
PB_Int,2025-12-21 07:00:00,PT1H,COP/kWh,TX1,402.0
PB_Int,2025-12-21 11:00:00,PT1H,COP/kWh,TX1,402.0
PB_Int,2025-12-21 20:00:00,PT1H,COP/kWh,TX1,445.0
PB_Int,2025-12-21 01:00:00,PT1H,COP/kWh,TX1,415.0
PB_Int,2025-12-21 22:00:00,PT1H,COP/kWh,TX1,425.0
PB_Int,2025-12-21 03:00:00,PT1H,COP/kWh,TX1,415.0
PB_Int,2025-12-21 12:00:00,PT1H,COP/kWh,TX1,402.0
PB_Int,2025-12-21 10:00:00,PT1H,COP/kWh,TX1,402.0
PB_Int,2025-12-21 08:00:00,PT1H,COP/kWh,TX1,402.0
PB_Int,2025-12-21 00:00:00,PT1H,COP/kWh,TX1,415.0
